ticker,price_date,close,adj_close,source
AAPL,2026-02-18,264.1067,264.1067,yfinance
MSFT,2026-02-18,397.8283,397.8283,yfinance
NVDA,2026-02-18,187.751,187.751,yfinance
AMZN,2026-02-18,204.79,204.79,yfinance
GOOGL,2026-02-18,302.9357,302.9357,yfinance
JPM,2026-02-18,307.2078,307.2078,yfinance
XOM,2026-02-18,149.6642,149.6642,yfinance
LLY,2026-02-18,1018.8062,1018.8062,yfinance
TLT,2026-02-18,88.2042,88.2042,yfinance
HYG,2026-02-18,79.3029,79.3029,yfinance
AAPL,2026-02-19,260.3401,260.3401,yfinance
MSFT,2026-02-19,397.5988,397.5988,yfinance
NVDA,2026-02-19,187.6711,187.6711,yfinance
AMZN,2026-02-19,204.86,204.86,yfinance
GOOGL,2026-02-19,302.4563,302.4563,yfinance
JPM,2026-02-19,306.4815,306.4815,yfinance
XOM,2026-02-19,149.9522,149.9522,yfinance
LLY,2026-02-19,1021.4616,1021.4616,yfinance
TLT,2026-02-19,88.2929,88.2929,yfinance
HYG,2026-02-19,79.3323,79.3323,yfinance
AAPL,2026-02-20,264.3365,264.3365,yfinance
MSFT,2026-02-20,396.3715,396.3715,yfinance
NVDA,2026-02-20,189.5888,189.5888,yfinance
AMZN,2026-02-20,210.11,210.11,yfinance
GOOGL,2026-02-20,314.5706,314.5706,yfinance
JPM,2026-02-20,309.2076,309.2076,yfinance
XOM,2026-02-20,146.2871,146.2871,yfinance
LLY,2026-02-20,1007.7852,1007.7852,yfinance
TLT,2026-02-20,88.086,88.086,yfinance
HYG,2026-02-20,79.3911,79.3911,yfinance
AAPL,2026-02-23,265.935,265.935,yfinance
MSFT,2026-02-23,383.6391,383.6391,yfinance
NVDA,2026-02-23,191.3167,191.3167,yfinance
AMZN,2026-02-23,205.27,205.27,yfinance
GOOGL,2026-02-23,311.0851,311.0851,yfinance
JPM,2026-02-23,296.1544,296.1544,yfinance
XOM,2026-02-23,149.7436,149.7436,yfinance
LLY,2026-02-23,1056.741,1056.741,yfinance
TLT,2026-02-23,88.4111,88.4111,yfinance
HYG,2026-02-23,79.2636,79.2636,yfinance
AAPL,2026-02-24,271.8895,271.8895,yfinance
MSFT,2026-02-24,388.1593,388.1593,yfinance
NVDA,2026-02-24,192.6151,192.6151,yfinance
AMZN,2026-02-24,208.56,208.56,yfinance
GOOGL,2026-02-24,310.4958,310.4958,yfinance
JPM,2026-02-24,295.7862,295.7862,yfinance
XOM,2026-02-24,148.2537,148.2537,yfinance
LLY,2026-02-24,1040.3591,1040.3591,yfinance
TLT,2026-02-24,88.5688,88.5688,yfinance
HYG,2026-02-24,79.2048,79.2048,yfinance
AAPL,2026-02-25,273.9776,273.9776,yfinance
MSFT,2026-02-25,399.7342,399.7342,yfinance
NVDA,2026-02-25,195.3218,195.3218,yfinance
AMZN,2026-02-25,210.64,210.64,yfinance
GOOGL,2026-02-25,312.4933,312.4933,yfinance
JPM,2026-02-25,301.7557,301.7557,yfinance
XOM,2026-02-25,148.0551,148.0551,yfinance
LLY,2026-02-25,1027.062,1027.062,yfinance
TLT,2026-02-25,88.5786,88.5786,yfinance
HYG,2026-02-25,79.3126,79.3126,yfinance
AAPL,2026-02-26,272.6988,272.6988,yfinance
MSFT,2026-02-26,400.8518,400.8518,yfinance
NVDA,2026-02-26,184.6648,184.6648,yfinance
AMZN,2026-02-26,207.92,207.92,yfinance
GOOGL,2026-02-26,306.9804,306.9804,yfinance
JPM,2026-02-26,304.5713,304.5713,yfinance
XOM,2026-02-26,147.5386,147.5386,yfinance
