portfolio_id,as_of_date,ticker,asset_class,sector,region,currency,quantity,cost_basis,price,market_value
port_001,2026-06-17,AAPL,equity,Technology,US,USD,5000,165.0,295.95,1479750.06
port_001,2026-06-17,MSFT,equity,Technology,US,USD,3500,310.0,378.91,1326185.01
port_001,2026-06-17,NVDA,equity,Technology,US,USD,2000,480.0,204.65,409299.99
port_001,2026-06-17,AMZN,equity,Consumer_Discretionary,US,USD,3000,155.0,237.5,712500.0
port_001,2026-06-17,GOOGL,equity,Communication_Services,US,USD,4000,130.0,363.79,1455160.03
port_001,2026-06-17,JPM,equity,Financials,US,USD,4500,175.0,333.46,1500569.96
port_001,2026-06-17,XOM,equity,Energy,US,USD,3000,105.0,140.74,422220.02
port_001,2026-06-17,LLY,equity,Healthcare,US,USD,1200,720.0,1112.0,1334400.0
port_001,2026-06-17,TLT,etf,Fixed_Income,US,USD,8000,92.0,86.33,690640.01
port_001,2026-06-17,HYG,etf,Fixed_Income,US,USD,10000,76.0,79.73,797300.03
