portfolio_id,limit_type,entity_type,entity_id,warning_level,breach_level,unit
port_001,var_95,portfolio,,0.025,0.035,fraction
port_001,expected_shortfall_95,portfolio,,0.035,0.05,fraction
port_001,daily_loss,portfolio,,0.02,0.03,fraction
port_001,rolling_volatility_30d,portfolio,,0.18,0.25,fraction
port_001,stress_loss_tech,portfolio,,0.06,0.08,fraction
port_001,sector_concentration,sector,Technology,0.4,0.5,fraction
port_001,sector_concentration,sector,Consumer_Discretionary,0.15,0.2,fraction
port_001,sector_concentration,sector,Financials,0.2,0.3,fraction
port_001,sector_concentration,sector,Fixed_Income,0.2,0.3,fraction
port_001,issuer_concentration,issuer,NVDA,0.15,0.2,fraction
port_001,issuer_concentration,issuer,AAPL,0.15,0.2,fraction
port_001,issuer_concentration,issuer,MSFT,0.15,0.2,fraction
port_001,issuer_concentration,issuer,LLY,0.12,0.18,fraction
